Package,LibPath,Version,Priority,Built
diffobj,/Users/jenny/resources/R/library,0.1.9,NA,3.4.3
diffr,/Users/jenny/resources/R/library,0.1,NA,3.4.0
digest,/Users/jenny/resources/R/library,0.6.15,NA,3.4.3
dimRed,/Users/jenny/resources/R/library,0.1.0,NA,3.4.0
diptest,/Users/jenny/resources/R/library,0.75-7,NA,3.4.0
directlabels,/Users/jenny/resources/R/library,2017.03.31,NA,3.4.0
DistributionUtils,/Users/jenny/resources/R/library,0.5-1,NA,3.4.0
diveMove,/Users/jenny/resources/R/library,1.4.4,NA,3.4.3
doParallel,/Users/jenny/resources/R/library,1.0.11,NA,3.4.2
doRedis,/Users/jenny/resources/R/library,1.1.1,NA,3.4.0
doRNG,/Users/jenny/resources/R/library,1.6.6,NA,3.4.0
DoseFinding,/Users/jenny/resources/R/library,0.9-16,NA,3.4.3
dotCall64,/Users/jenny/resources/R/library,0.9-5.2,NA,3.4.3
downloader,/Users/jenny/resources/R/library,0.4,NA,3.4.0
dplyr,/Users/jenny/resources/R/library,0.7.4,NA,3.4.2
DRR,/Users/jenny/resources/R/library,0.0.3,NA,3.4.3
DT,/Users/jenny/resources/R/library,0.3,NA,3.4.3
dtplyr,/Users/jenny/resources/R/library,0.0.2,NA,3.4.0
dygraphs,/Users/jenny/resources/R/library,1.1.1.4,NA,3.4.0
dynamicTreeCut,/Users/jenny/resources/R/library,1.63-1,NA,3.4.0
dynlm,/Users/jenny/resources/R/library,0.3-5,NA,3.4.0
e1071,/Users/jenny/resources/R/library,1.6-8,NA,3.4.0
Ecdat,/Users/jenny/resources/R/library,0.3-1,NA,3.4.0
Ecfun,/Users/jenny/resources/R/library,0.1-7,NA,3.4.0
effects,/Users/jenny/resources/R/library,4.0-0,NA,3.4.1
elastic,/Users/jenny/resources/R/library,0.8.0.9100,NA,3.4.1
ellipse,/Users/jenny/resources/R/library,0.4.1,NA,3.4.3
emdbook,/Users/jenny/resources/R/library,1.3.9,NA,3.4.0
emojifont,/Users/jenny/resources/R/library,0.5.1,NA,3.4.2
enc,/Users/jenny/resources/R/library,0.1,NA,3.4.2
ensurer,/Users/jenny/resources/R/library,1.1,NA,3.4.0
Epi,/Users/jenny/resources/R/library,2.19,NA,3.4.1
EpiModel,/Users/jenny/resources/R/library,1.6.1,NA,3.4.3
ergm,/Users/jenny/resources/R/library,3.8.0,NA,3.4.1
ergm.count,/Users/jenny/resources/R/library,3.2.2,NA,3.4.0
ergm.userterms,/Users/jenny/resources/R/library,3.1.1,NA,3.4.0
etm,/Users/jenny/resources/R/library,0.6-2,NA,3.4.0
evaluate,/Users/jenny/resources/R/library,0.10.1,NA,3.4.1
evd,/Users/jenny/resources/R/library,2.3-2,NA,3.4.0
expm,/Users/jenny/resources/R/library,0.999-2,NA,3.4.0
extrafont,/Users/jenny/resources/R/library,0.17,NA,3.4.0
extrafontdb,/Users/jenny/resources/R/library,1.0,NA,3.4.0
Fahrmeir,/Users/jenny/resources/R/library,2016.5.31,NA,3.4.0
fail,/Users/jenny/resources/R/library,1.3,NA,3.4.0
fastICA,/Users/jenny/resources/R/library,1.2-1,NA,3.4.0
fastmatch,/Users/jenny/resources/R/library,1.1-0,NA,3.4.0
fBasics,/Users/jenny/resources/R/library,3042.89,NA,3.4.2
fda,/Users/jenny/resources/R/library,2.4.7,NA,3.4.1
fdrtool,/Users/jenny/resources/R/library,1.2.15,NA,3.4.0
feather,/Users/jenny/resources/R/library,0.3.1,NA,3.4.0
ff,/Users/jenny/resources/R/library,2.2-13,NA,3.4.0
ffbase,/Users/jenny/resources/R/library,0.12.3,NA,3.4.0
fftwtools,/Users/jenny/resources/R/library,0.9-8,NA,3.4.0
fGarch,/Users/jenny/resources/R/library,3042.83,NA,3.4.2
fields,/Users/jenny/resources/R/library,9.0,NA,3.4.0
filehash,/Users/jenny/resources/R/library,2.4-1,NA,3.4.0
filelock,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.2
findpython,/Users/jenny/resources/R/library,1.0.3,NA,3.4.3
fit.models,/Users/jenny/resources/R/library,0.5-14,NA,3.4.0
fitdistrplus,/Users/jenny/resources/R/library,1.0-9,NA,3.4.0
flexclust,/Users/jenny/resources/R/library,1.3-4,NA,3.4.0
flexdashboard,/Users/jenny/resources/R/library,0.5.1,NA,3.4.2
flexmix,/Users/jenny/resources/R/library,2.3-14,NA,3.4.0
flexsurv,/Users/jenny/resources/R/library,1.1,NA,3.4.0
FMStable,/Users/jenny/resources/R/library,0.1-2,NA,3.4.0
FNN,/Users/jenny/resources/R/library,1.1,NA,3.4.0
fontBitstreamVera,/Users/jenny/resources/R/library,0.1.1,NA,3.4.0
fontcm,/Users/jenny/resources/R/library,1.1,NA,3.4.0
fontLiberation,/Users/jenny/resources/R/library,0.1.0,NA,3.4.0
fontquiver,/Users/jenny/resources/R/library,0.2.1,NA,3.4.0
forcats,/Users/jenny/resources/R/library,0.2.0,NA,3.4.0
foreach,/Users/jenny/resources/R/library,1.4.4,NA,3.4.3
forecast,/Users/jenny/resources/R/library,8.2,NA,3.4.2
formatR,/Users/jenny/resources/R/library,1.5,NA,3.4.0
formattable,/Users/jenny/resources/R/library,0.2.0.1,NA,3.4.0
Formula,/Users/jenny/resources/R/library,1.2-2,NA,3.4.1
fortunes,/Users/jenny/resources/R/library,1.5-4,NA,3.4.0
fpc,/Users/jenny/resources/R/library,2.1-11,NA,3.4.3
fracdiff,/Users/jenny/resources/R/library,1.4-2,NA,3.4.0
franc,/Users/jenny/resources/R/library,1.1.1,NA,3.4.0
FRB,/Users/jenny/resources/R/library,1.8,NA,3.4.0
fs,/Users/jenny/resources/R/library,1.1.0,NA,3.4.3
fTrading,/Users/jenny/resources/R/library,3042.79,NA,3.4.2
fts,/Users/jenny/resources/R/library,0.9.9,NA,3.4.0
fulltext,/Users/jenny/resources/R/library,1.0.0,NA,3.4.3
futile.logger,/Users/jenny/resources/R/library,1.4.3,NA,3.4.0
futile.options,/Users/jenny/resources/R/library,1.0.0,NA,3.4.0
fuzzyjoin,/Users/jenny/resources/R/library,0.1.3,NA,3.4.1
GA,/Users/jenny/resources/R/library,3.0.2,NA,3.4.0
gam,/Users/jenny/resources/R/library,1.14-4,NA,3.4.0
gamlss,/Users/jenny/resources/R/library,5.0-6,NA,3.4.3
gamlss.data,/Users/jenny/resources/R/library,5.0-0,NA,3.4.0
gamlss.dist,/Users/jenny/resources/R/library,5.0-4,NA,3.4.3
gamm4,/Users/jenny/resources/R/library,0.2-5,NA,3.4.1
gapminder,/Users/jenny/resources/R/library,0.3.0,NA,3.4.2
gargle,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.2
gclus,/Users/jenny/resources/R/library,1.3.1,NA,3.4.0
gdata,/Users/jenny/resources/R/library,2.18.0,NA,3.4.0
gdtools,/Users/jenny/resources/R/library,0.1.6,NA,3.4.1
gee,/Users/jenny/resources/R/library,4.13-19,NA,3.4.0
geepack,/Users/jenny/resources/R/library,1.2-1,NA,3.4.0
gender,/Users/jenny/resources/R/library,0.5.1,NA,3.4.0
GeneralizedHyperbolic,/Users/jenny/resources/R/library,0.8-1,NA,3.4.0
geonames,/Users/jenny/resources/R/library,0.998,NA,3.4.0
geosphere,/Users/jenny/resources/R/library,1.5-7,NA,3.4.2
GERGM,/Users/jenny/resources/R/library,0.11.2,NA,3.4.0
getopt,/Users/jenny/resources/R/library,1.20.1,NA,3.4.3
GGally,/Users/jenny/resources/R/library,1.3.2,NA,3.4.1
ggalt,/Users/jenny/resources/R/library,0.4.0,NA,3.4.0
ggbeeswarm,/Users/jenny/resources/R/library,0.6.0,NA,3.4.1
ggExtra,/Users/jenny/resources/R/library,0.7,NA,3.4.1
ggforce,/Users/jenny/resources/R/library,0.1.1,NA,3.4.0
ggjoy,/Users/jenny/resources/R/library,0.4.0,NA,3.4.1
ggmap,/Users/jenny/resources/R/library,2.6.1,NA,3.4.0
ggplot2,/Users/jenny/resources/R/library,2.2.1,NA,3.4.0
ggplot2movies,/Users/jenny/resources/R/library,0.0.1,NA,3.4.0
ggraph,/Users/jenny/resources/R/library,1.0.0,NA,3.4.1
ggrepel,/Users/jenny/resources/R/library,0.7.0,NA,3.4.2
ggridges,/Users/jenny/resources/R/library,0.4.1,NA,3.4.1
ggthemes,/Users/jenny/resources/R/library,3.4.0,NA,3.4.0
gh,/Users/jenny/resources/R/library,1.0.1,NA,3.4.1
ghentr,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.2
ghit,/Users/jenny/resources/R/library,0.2.18,NA,3.4.1
giggle,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.1
gistr,/Users/jenny/resources/R/library,0.4.0,NA,3.4.0
git2r,/Users/jenny/resources/R/library,0.21.0,NA,3.4.2
gitlabr,/Users/jenny/resources/R/library,0.9,NA,3.4.0
glmnet,/Users/jenny/resources/R/library,2.0-13,NA,3.4.2
GlobalOptions,/Users/jenny/resources/R/library,0.0.12,NA,3.4.0
glue,/Users/jenny/resources/R/library,1.2.0.9000,NA,3.4.2
gmailr,/Users/jenny/resources/R/library,0.7.1,NA,3.4.0
gmodels,/Users/jenny/resources/R/library,2.16.2,NA,3.4.0
gmp,/Users/jenny/resources/R/library,0.5-13.1,NA,3.4.1
gnm,/Users/jenny/resources/R/library,1.0-8,NA,3.4.0
gof,/Users/jenny/resources/R/library,0.9.1,NA,3.4.0
goftest,/Users/jenny/resources/R/library,1.1-1,NA,3.4.0
googledrive,/Users/jenny/resources/R/library,0.1.1.9000,NA,3.4.2
googleformr,/Users/jenny/resources/R/library,0.0.3,NA,3.4.0
googlesheets,/Users/jenny/resources/R/library,0.2.2,NA,3.4.0
googleVis,/Users/jenny/resources/R/library,0.6.2,NA,3.4.0
gower,/Users/jenny/resources/R/library,0.1.2,NA,3.4.0
GPArotation,/Users/jenny/resources/R/library,2014.11-1,NA,3.4.0
gpg,/Users/jenny/resources/R/library,0.5,NA,3.4.0
gplots,/Users/jenny/resources/R/library,3.0.1,NA,3.4.0
gridBase,/Users/jenny/resources/R/library,0.4-7,NA,3.4.0
gridExtra,/Users/jenny/resources/R/library,2.3,NA,3.4.1
gridSVG,/Users/jenny/resources/R/library,1.6-0,NA,3.4.2
grImport,/Users/jenny/resources/R/library,0.9-0,NA,3.4.0
gsl,/Users/jenny/resources/R/library,1.9-10.3,NA,3.4.0
gss,/Users/jenny/resources/R/library,2.1-7,NA,3.4.0
gstat,/Users/jenny/resources/R/library,1.1-5,NA,3.4.0
gtable,/Users/jenny/resources/R/library,0.2.0,NA,3.4.0
gtools,/Users/jenny/resources/R/library,3.5.0,NA,3.4.0
gutenbergr,/Users/jenny/resources/R/library,0.1.4,NA,3.4.3
gWidgets,/Users/jenny/resources/R/library,0.0-54,NA,3.4.0
gWidgets2,/Users/jenny/resources/R/library,1.0-7,NA,3.4.0
gWidgets2tcltk,/Users/jenny/resources/R/library,1.0-5,NA,3.4.0
haven,/Users/jenny/resources/R/library,1.1.1,NA,3.4.3
hdrcde,/Users/jenny/resources/R/library,3.1,NA,3.4.0
heatmaply,/Users/jenny/resources/R/library,0.14.0,NA,3.4.3
heplots,/Users/jenny/resources/R/library,1.3-4,NA,3.4.1
here,/Users/jenny/resources/R/library,0.1,NA,3.4.0
hexbin,/Users/jenny/resources/R/library,1.27.2,NA,3.4.3
hflights,/Users/jenny/resources/R/library,0.1,NA,3.4.0
highlight,/Users/jenny/resources/R/library,0.4.7.2,NA,3.4.2
highlite,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.1
highr,/Users/jenny/resources/R/library,0.6,NA,3.4.0
Hmisc,/Users/jenny/resources/R/library,4.1-1,NA,3.4.3
hms,/Users/jenny/resources/R/library,0.4.1,NA,3.4.3
hoardr,/Users/jenny/resources/R/library,0.2.0,NA,3.4.0
hrbrthemes,/Users/jenny/resources/R/library,0.1.0,NA,3.4.0
HSAUR,/Users/jenny/resources/R/library,1.3-9,NA,3.4.1
HSAUR2,/Users/jenny/resources/R/library,1.1-17,NA,3.4.1
htmlTable,/Users/jenny/resources/R/library,1.11.2,NA,3.4.3
htmltools,/Users/jenny/resources/R/library,0.3.6,NA,3.4.0
htmlwidgets,/Users/jenny/resources/R/library,1.0,NA,3.4.3
httpcode,/Users/jenny/resources/R/library,0.2.0,NA,3.4.0
httpuv,/Users/jenny/resources/R/library,1.3.5,NA,3.4.1
httr,/Users/jenny/resources/R/library,1.3.1,NA,3.4.1
hunspell,/Users/jenny/resources/R/library,2.9,NA,3.4.3
hwriter,/Users/jenny/resources/R/library,1.3.2,NA,3.4.0
ids,/Users/jenny/resources/R/library,1.0.1,NA,3.4.0
igraph,/Users/jenny/resources/R/library,1.1.2,NA,3.4.1
igraphdata,/Users/jenny/resources/R/library,1.0.1,NA,3.4.0
ineq,/Users/jenny/resources/R/library,0.2-13,NA,3.4.0
influenceR,/Users/jenny/resources/R/library,0.1.0,NA,3.4.0
ini,/Users/jenny/resources/R/library,0.3.0,NA,3.4.2
inline,/Users/jenny/resources/R/library,0.3.14,NA,3.4.0
intergraph,/Users/jenny/resources/R/library,2.0-2,NA,3.4.0
intervals,/Users/jenny/resources/R/library,0.15.1,NA,3.4.0
intubate,/Users/jenny/resources/R/library,1.0.0,NA,3.4.0
iplots,/Users/jenny/resources/R/library,1.1-7,NA,3.4.0
ipred,/Users/jenny/resources/R/library,0.9-6,NA,3.4.0
irlba,/Users/jenny/resources/R/library,2.3.2,NA,3.4.3
ISOcodes,/Users/jenny/resources/R/library,2017.09.27,NA,3.4.2
ISwR,/Users/jenny/resources/R/library,2.0-7,NA,3.4.0
iterators,/Users/jenny/resources/R/library,1.0.9,NA,3.4.3
itertools,/Users/jenny/resources/R/library,0.1-3,NA,3.4.0
janeaustenr,/Users/jenny/resources/R/library,0.1.5,NA,3.4.0
janitor,/Users/jenny/resources/R/library,0.3.1,NA,3.4.3
jose,/Users/jenny/resources/R/library,0.1,NA,3.4.0
jpeg,/Users/jenny/resources/R/library,0.1-8,NA,3.4.0
jsonlite,/Users/jenny/resources/R/library,1.5,NA,3.4.0
kernlab,/Users/jenny/resources/R/library,0.9-25,NA,3.4.0
klaR,/Users/jenny/resources/R/library,0.6-12,NA,3.4.0
knitr,/Users/jenny/resources/R/library,1.18.7,NA,3.4.2
koRpus,/Users/jenny/resources/R/library,0.10-2,NA,3.4.0
ks,/Users/jenny/resources/R/library,1.11.0,NA,3.4.3
labeling,/Users/jenny/resources/R/library,0.3,NA,3.4.0
laeken,/Users/jenny/resources/R/library,0.4.6,NA,3.4.0
LaF,/Users/jenny/resources/R/library,0.8.0,NA,3.4.3
Lahman,/Users/jenny/resources/R/library,6.0-0,NA,3.4.1
lambda.r,/Users/jenny/resources/R/library,1.2,NA,3.4.1
lars,/Users/jenny/resources/R/library,1.2,NA,3.4.0
lasso2,/Users/jenny/resources/R/library,1.2-19,NA,3.4.0
latentnet,/Users/jenny/resources/R/library,2.8.0,NA,3.4.1
later,/Users/jenny/resources/R/library,0.6,NA,3.4.2
latticeExtra,/Users/jenny/resources/R/library,0.6-28,NA,3.4.0
lava,/Users/jenny/resources/R/library,1.6,NA,3.4.3
lavaan,/Users/jenny/resources/R/library,0.5-23.1097,NA,3.4.0
lazyeval,/Users/jenny/resources/R/library,0.2.1,NA,3.4.2
lazyrmd,/Users/jenny/resources/R/library,0.2.0,NA,3.4.0
lda,/Users/jenny/resources/R/library,1.4.2,NA,3.4.0
leaflet,/Users/jenny/resources/R/library,1.1.0,NA,3.4.0
leaps,/Users/jenny/resources/R/library,3.0,NA,3.4.0
LearnBayes,/Users/jenny/resources/R/library,2.15,NA,3.4.0
lfe,/Users/jenny/resources/R/library,2.5-1998,NA,3.4.0
lintr,/Users/jenny/resources/R/library,1.0.2,NA,3.4.2
listviewer,/Users/jenny/resources/R/library,1.4.0,NA,3.4.0
lme4,/Users/jenny/resources/R/library,1.1-15,NA,3.4.3
lmtest,/Users/jenny/resources/R/library,0.9-35,NA,3.4.0
loa,/Users/jenny/resources/R/library,0.2.43.3,NA,3.4.3
locfit,/Users/jenny/resources/R/library,1.5-9.1,NA,3.4.0
logspline,/Users/jenny/resources/R/library,2.1.9,NA,3.4.0
lokern,/Users/jenny/resources/R/library,1.1-8,NA,3.4.0
longmemo,/Users/jenny/resources/R/library,1.0-0,NA,3.4.0
loo,/Users/jenny/resources/R/library,1.1.0,NA,3.4.0
lookup,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.1
lpSolve,/Users/jenny/resources/R/library,5.6.13,NA,3.4.0
LSD,/Users/jenny/resources/R/library,4.0-0,NA,3.4.3
lubridate,/Users/jenny/resources/R/library,1.7.1,NA,3.4.2
maddison,/Users/jenny/resources/R/library,0.1,NA,3.4.0
magick,/Users/jenny/resources/R/library,1.6,NA,3.4.3
magrittr,/Users/jenny/resources/R/library,1.5,NA,3.4.0
mallet,/Users/jenny/resources/R/library,1.0,NA,3.4.0
