Package,Built
dotCall64,3.4.3
downloader,3.4.0
dplyr,3.4.2
DRR,3.4.3
DT,3.4.3
dtplyr,3.4.0
dygraphs,3.4.0
dynamicTreeCut,3.4.0
dynlm,3.4.0
e1071,3.4.0
Ecdat,3.4.0
Ecfun,3.4.0
effects,3.4.1
elastic,3.4.1
ellipse,3.4.3
emdbook,3.4.0
emojifont,3.4.2
enc,3.4.2
ensurer,3.4.0
Epi,3.4.1
EpiModel,3.4.3
ergm,3.4.1
ergm.count,3.4.0
ergm.userterms,3.4.0
etm,3.4.0
evaluate,3.4.1
evd,3.4.0
expm,3.4.0
extrafont,3.4.0
extrafontdb,3.4.0
Fahrmeir,3.4.0
fail,3.4.0
fastICA,3.4.0
fastmatch,3.4.0
fBasics,3.4.2
fda,3.4.1
fdrtool,3.4.0
feather,3.4.0
ff,3.4.0
ffbase,3.4.0
fftwtools,3.4.0
fGarch,3.4.2
fields,3.4.0
filehash,3.4.0
filelock,3.4.2
findpython,3.4.3
fit.models,3.4.0
fitdistrplus,3.4.0
flexclust,3.4.0
flexdashboard,3.4.2
flexmix,3.4.0
flexsurv,3.4.0
FMStable,3.4.0
FNN,3.4.0
fontBitstreamVera,3.4.0
fontcm,3.4.0
fontLiberation,3.4.0
fontquiver,3.4.0
forcats,3.4.0
foreach,3.4.3
forecast,3.4.2
formatR,3.4.0
formattable,3.4.0
Formula,3.4.1
fortunes,3.4.0
fpc,3.4.3
fracdiff,3.4.0
franc,3.4.0
FRB,3.4.0
fs,3.4.3
fTrading,3.4.2
fts,3.4.0
fulltext,3.4.3
futile.logger,3.4.0
futile.options,3.4.0
fuzzyjoin,3.4.1
GA,3.4.0
gam,3.4.0
gamlss,3.4.3
gamlss.data,3.4.0
gamlss.dist,3.4.3
gamm4,3.4.1
gapminder,3.4.2
gargle,3.4.2
gclus,3.4.0
gdata,3.4.0
gdtools,3.4.1
gee,3.4.0
geepack,3.4.0
gender,3.4.0
GeneralizedHyperbolic,3.4.0
geonames,3.4.0
geosphere,3.4.2
GERGM,3.4.0
getopt,3.4.3
GGally,3.4.1
ggalt,3.4.0
ggbeeswarm,3.4.1
ggExtra,3.4.1
ggforce,3.4.0
ggjoy,3.4.1
ggmap,3.4.0
ggplot2,3.4.0
ggplot2movies,3.4.0
ggraph,3.4.1
ggrepel,3.4.2
ggridges,3.4.1
ggthemes,3.4.0
gh,3.4.1
ghentr,3.4.2
ghit,3.4.1
giggle,3.4.1
gistr,3.4.0
git2r,3.4.2
gitlabr,3.4.0
glmnet,3.4.2
GlobalOptions,3.4.0
glue,3.4.2
gmailr,3.4.0
gmodels,3.4.0
gmp,3.4.1
gnm,3.4.0
gof,3.4.0
goftest,3.4.0
googledrive,3.4.2
googleformr,3.4.0
googlesheets,3.4.0
googleVis,3.4.0
gower,3.4.0
GPArotation,3.4.0
gpg,3.4.0
gplots,3.4.0
gridBase,3.4.0
gridExtra,3.4.1
gridSVG,3.4.2
grImport,3.4.0
gsl,3.4.0
gss,3.4.0
gstat,3.4.0
gtable,3.4.0
gtools,3.4.0
gutenbergr,3.4.3
gWidgets,3.4.0
gWidgets2,3.4.0
gWidgets2tcltk,3.4.0
haven,3.4.3
hdrcde,3.4.0
heatmaply,3.4.3
heplots,3.4.1
here,3.4.0
hexbin,3.4.3
hflights,3.4.0
highlight,3.4.2
highlite,3.4.1
highr,3.4.0
Hmisc,3.4.3
hms,3.4.3
hoardr,3.4.0
hrbrthemes,3.4.0
HSAUR,3.4.1
HSAUR2,3.4.1
htmlTable,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.3
httpcode,3.4.0
httpuv,3.4.1
httr,3.4.1
hunspell,3.4.3
hwriter,3.4.0
ids,3.4.0
igraph,3.4.1
igraphdata,3.4.0
ineq,3.4.0
influenceR,3.4.0
ini,3.4.2
inline,3.4.0
intergraph,3.4.0
intervals,3.4.0
intubate,3.4.0
iplots,3.4.0
ipred,3.4.0
irlba,3.4.3
ISOcodes,3.4.2
ISwR,3.4.0
iterators,3.4.3
itertools,3.4.0
janeaustenr,3.4.0
janitor,3.4.3
jose,3.4.0
jpeg,3.4.0
jsonlite,3.4.0
kernlab,3.4.0
klaR,3.4.0
knitr,3.4.2
koRpus,3.4.0
ks,3.4.3
labeling,3.4.0
laeken,3.4.0
LaF,3.4.3
Lahman,3.4.1
lambda.r,3.4.1
lars,3.4.0
lasso2,3.4.0
latentnet,3.4.1
later,3.4.2
latticeExtra,3.4.0
lava,3.4.3
lavaan,3.4.0
lazyeval,3.4.2
lazyrmd,3.4.0
lda,3.4.0
leaflet,3.4.0
leaps,3.4.0
LearnBayes,3.4.0
lfe,3.4.0
lintr,3.4.2
listviewer,3.4.0
lme4,3.4.3
lmtest,3.4.0
loa,3.4.3
locfit,3.4.0
logspline,3.4.0
lokern,3.4.0
longmemo,3.4.0
loo,3.4.0
lookup,3.4.1
lpSolve,3.4.0
LSD,3.4.3
lubridate,3.4.2
maddison,3.4.0
magick,3.4.3
magrittr,3.4.0
mallet,3.4.0
manipulate,3.4.0
mapdata,3.4.0
mapproj,3.4.0
maps,3.4.0
maptools,3.4.0
markdown,3.4.0
matrixcalc,3.4.0
MatrixModels,3.4.0
matrixStats,3.4.3
maxLik,3.4.0
maxlike,3.4.0
MBESS,3.4.3
mclust,3.4.3
memisc,3.4.3
memoise,3.4.2
MEMSS,3.4.0
mets,3.4.0
mi,3.4.0
mice,3.4.2
microbenchmark,3.4.3
microdemic,3.4.3
mime,3.4.0
miniCRAN,3.4.3
miniUI,3.4.0
minqa,3.4.0
misc3d,3.4.0
miscTools,3.4.0
mitools,3.4.0
mix,3.4.0
mixtools,3.4.0
mlbench,3.4.0
mlmRev,3.4.0
mlogit,3.4.0
mnormt,3.4.0
mockery,3.4.2
ModelMetrics,3.4.0
modelr,3.4.1
modeltools,3.4.0
mondate,3.4.0
MonetDB.R,3.4.0
MPV,3.4.0
mratios,3.4.0
mstate,3.4.0
muhaz,3.4.0
multcomp,3.4.2
multicool,3.4.0
MuMIn,3.4.2
munsell,3.4.0
mvinfluence,3.4.0
mvtnorm,3.4.3
ncdf4,3.4.0
NCmisc,3.4.0
ndtv,3.4.0
network,3.4.0
networkDynamic,3.4.0
networksis,3.4.0
nleqslv,3.4.1
nloptr,3.4.0
NLP,3.4.1
NMF,3.4.0
nor1mix,3.4.1
nortest,3.4.0
np,3.4.3
numDeriv,3.4.0
nws,3.4.0
nycflights13,3.4.0
OAIHarvester,3.4.1
OceanView,3.4.0
openair,3.4.1
openNLP,3.4.0
openNLPdata,3.4.2
openssl,3.4.2
openxlsx,3.4.0
optextras,3.4.0
optimx,3.4.0
optionally,3.4.1
optor,3.4.1
ordinal,3.4.0
orientlib,3.4.0
oz,3.4.0
packagedocs,3.4.0
packrat,3.4.0
pander,3.4.1
parsedate,3.4.0
party,3.4.3
pathological,3.4.0
pbivnorm,3.4.0
pbkrtest,3.4.0
PBSmapping,3.4.1
pcaPP,3.4.3
pdftools,3.4.2
penalized,3.4.0
PerformanceAnalytics,3.4.0
permute,3.4.0
pillar,3.4.3
pingr,3.4.0
pipeR,3.4.0
pixmap,3.4.0
pkgbuild,3.4.3
pkgconfig,3.4.0
pkgdepends,3.4.2
pkgdown,3.4.1
pkgKitten,3.4.0
pkgload,3.4.3
pkgmaker,3.4.0
PKI,3.4.1
PKPDmodels,3.4.0
plm,3.4.2
plogr,3.4.0
plot3D,3.4.1
plot3Drgl,3.4.0
plotly,3.4.1
plotrix,3.4.3
pls,3.4.0
plyr,3.4.0
png,3.4.0
poLCA,3.4.0
polspline,3.4.0
polyclip,3.4.0
polycor,3.4.0
prabclus,3.4.0
praise,3.4.1
prettyunits,3.4.0
processx,3.4.3
prodlim,3.4.0
profdpm,3.4.0
proftools,3.4.0
profvis,3.4.3
progress,3.4.2
proj4,3.4.0
prospectr,3.4.0
proto,3.4.0
proxy,3.4.3
pryr,3.4.2
pscl,3.4.2
psych,3.4.3
purrr,3.4.2
pvclust,3.4.0
qap,3.4.0
qdapDictionaries,3.4.0
qdapRegex,3.4.0
qdapTools,3.4.1
quadprog,3.4.0
quanteda,3.4.2
quantmod,3.4.3
quantreg,3.4.2
qvcalc,3.4.2
R.cache,3.4.3
R.devices,3.4.0
R.methodsS3,3.4.0
R.oo,3.4.0
R.rsp,3.4.3
R.utils,3.4.2
R2Cuba,3.4.0
R2HTML,3.4.0
R2jags,3.4.0
R2OpenBUGS,3.4.0
R2WinBUGS,3.4.0
R6,3.4.0
RandomFields,3.4.0
RandomFieldsUtils,3.4.0
randomForest,3.4.0
RANN,3.4.0
rappdirs,3.4.0
raster,3.4.2
rasterVis,3.4.3
rbenchmark,3.4.0
Rcgmin,3.4.0
rChoiceDialogs,3.4.0
rcmdcheck,3.4.2
Rcmdr,3.4.2
RcmdrMisc,3.4.3
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppArmadillo,3.4.3
RcppEigen,3.4.3
RcppParallel,3.4.0
RcppRoll,3.4.0
rcrossref,3.4.3
Rcsdp,3.4.0
RCurl,3.4.3
Rd2roxygen,3.4.0
rdrop2,3.4.2
readbitmap,3.4.0
reader,3.4.0
readODS,3.4.0
readOffice,3.4.0
readr,3.4.2
readstata13,3.4.0
readxl,3.4.1
rebird,3.4.0
recipes,3.4.3
registry,3.4.3
relevent,3.4.0
relimp,3.4.0
rem,3.4.1
rematch,3.4.0
rematch2,3.4.1
remotes,3.4.2
rentrez,3.4.0
reports,3.4.0
repr,3.4.0
reprex,3.4.3
repurrrsive,3.4.1
reshape,3.4.1
reshape2,3.4.3
reticulate,3.4.3
revdepcheck,3.4.2
rex,3.4.2
rfigshare,3.4.0
rgdal,3.4.3
rgeos,3.4.2
rgexf,3.4.0
rgl,3.4.3
rglwidget,3.4.0
RgoogleMaps,3.4.0
RGraphics,3.4.0
rhub,3.4.2
rio,3.4.0
rjags,3.4.0
rJava,3.4.2
rjson,3.4.0
RJSONIO,3.4.0
rlang,3.4.3
rlecuyer,3.4.0
rlist,3.4.0
rmarkdown,3.4.2
rmdshower,3.4.0
Rmpfr,3.4.3
rms,3.4.3
RMySQL,3.4.1
rngtools,3.4.0
robust,3.4.0
robustbase,3.4.0
ROCR,3.4.0
Rook,3.4.0
roxygen2,3.4.3
roxygen2md,3.4.1
rpanel,3.4.0
rpf,3.4.3
rplos,3.4.2
RPostgreSQL,3.4.1
rprintf,3.4.0
rprojroot,3.4.2
RPushbullet,3.4.0
rrcov,3.4.0
rredis,3.4.0
RSclient,3.4.0
rsconnect,3.4.1
Rserve,3.4.0
RSiena,3.4.1
Rsolnp,3.4.0
RSpectra,3.4.0
RSQLite,3.4.1
rstan,3.4.3
rstantools,3.4.3
rstudioapi,3.4.2
rsvg,3.4.0
rticles,3.4.1
Rttf2pt1,3.4.3
rtweet,3.4.2
rugarch,3.4.2
RUnit,3.4.0
rvcheck,3.4.1
rversions,3.4.0
rvest,3.4.0
Rvmmin,3.4.1
sampleSelection,3.4.3
sandwich,3.4.1
scagnostics,3.4.0
scales,3.4.1
scatterplot3d,3.4.0
SchemaOnRead,3.4.0
schoolmath,3.4.0
scrypt,3.4.0
segmented,3.4.3
SEL,3.4.0
selectr,3.4.0
sem,3.4.0
semTools,3.4.0
sendmailR,3.4.0
seriation,3.4.0
servr,3.4.2
sessioninfo,3.4.1
setRNG,3.4.0
sfsmisc,3.4.0
shape,3.4.1
shiny,3.4.1
shinyAce,3.4.0
shinyjs,3.4.3
shinystan,3.4.1
shinythemes,3.4.0
showtext,3.4.3
showtextdb,3.4.1
SimComp,3.4.1
simputation,3.4.0
SkewHyperbolic,3.4.0
slackr,3.4.0
slam,3.4.3
Sleuth2,3.4.0
sm,3.4.0
sna,3.4.0
snow,3.4.0
SnowballC,3.4.0
sodium,3.4.0
soiltexture,3.4.0
solr,3.4.0
solrium,3.4.2
som,3.4.0
sourcetools,3.4.0
sp,3.4.3
spacetime,3.4.2
spacyr,3.4.2
spam,3.4.3
SparseM,3.4.0
spatstat,3.4.3
spatstat.data,3.4.3
spatstat.utils,3.4.3
spd,3.4.0
spData,3.4.3
spdep,3.4.3
spectrolab,3.4.3
speedglm,3.4.0
spelling,3.4.3
splancs,3.4.0
SQUAREM,3.4.2
stabledist,3.4.0
StanHeaders,3.4.3
statmod,3.4.0
statnet,3.4.0
statnet.common,3.4.1
stm,3.4.1
stopwords,3.4.3
storr,3.4.3
stringdist,3.4.1
stringi,3.4.2
stringr,3.4.1
strucchange,3.4.0
styler,3.4.3
survey,3.4.3
svglite,3.4.1
svUnit,3.4.0
symbols,3.4.0
sysfonts,3.4.3
systemfit,3.4.0
tables,3.4.2
tcltk2,3.4.0
TeachingDemos,3.4.0
tensor,3.4.0
tergm,3.4.1
testit,3.4.0
testthat,3.4.3
texreg,3.4.0
TH.data,3.4.0
threejs,3.4.1
tibble,3.4.2
tidyr,3.4.2
tidyselect,3.4.2
tidytemplate,3.4.3
tidytext,3.4.3
tidyverse,3.4.2
tiff,3.4.0
tikzDevice,3.4.0
timeDate,3.4.2
timereg,3.4.0
timeSeries,3.4.2
tis,3.4.3
tkrplot,3.4.0
tm,3.4.3
tnam,3.4.0
tnet,3.4.0
tokenizers,3.4.0
toOrdinal,3.4.1
topicmodels,3.4.2
triebeard,3.4.0
trimcluster,3.4.0
tripack,3.4.0
truncdist,3.4.0
truncnorm,3.4.0
truncreg,3.4.0
trust,3.4.0
TSA,3.4.0
tseries,3.4.1
tsna,3.4.0
TSP,3.4.0
TTR,3.4.3
tufte,3.4.3
tweedie,3.4.3
tweenr,3.4.0
twitteR,3.4.0
ucminf,3.4.0
udunits2,3.4.0
uniReg,3.4.0
units,3.4.3
unmarked,3.4.0
urca,3.4.0
urltools,3.4.3
usethis,3.4.3
utf8,3.4.2
uuid,3.4.0
V8,3.4.0
vars,3.4.0
vcd,3.4.3
vcdExtra,3.4.2
vegan,3.4.3
VennDiagram,3.4.3
venneuler,3.4.0
VGAM,3.4.1
VIM,3.4.0
vioplot,3.4.0
vipor,3.4.0
viridis,3.4.3
viridisLite,3.4.0
visdat,3.4.1
visNetwork,3.4.3
vrmlgen,3.4.0
waveslim,3.4.0
wbstats,3.4.3
webshot,3.4.3
wesanderson,3.4.0
whisker,3.4.1
whoami,3.4.2
withr,3.4.3
wordcloud,3.4.0
wordcloud2,3.4.3
wordcountaddin,3.4.1
WriteXLS,3.4.0
xergm,3.4.0
xergm.common,3.4.0
xfun,3.4.3
xkcd,3.4.0
XLConnect,3.4.3
XLConnectJars,3.4.3
xlsx,3.4.0
xlsxjars,3.4.0
XML,3.4.1
xml2,3.4.3
xmlparsedata,3.4.2
xtable,3.4.0
xts,3.4.3
yaml,3.4.3
zipcode,3.4.0
zoo,3.4.3
